"Index","Sentence","Mention","Head","Gov","Type Label"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File XXXXX . ''","File -RRB- less CHICAGO -LRB- AP -RRB- -- A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks on Mumbai , India , left more than 160 people dead","File","Gianni","appos"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File -RRB- less CHICAGO -LRB- XXXXX -- A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks on Mumbai , India , left more than 160 people dead . ''","-LRB- AP -RRB-","AP","CHICAGO","appos"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File -RRB- less CHICAGO -LRB- AP -RRB- -- A XXXXX was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks on Mumbai , India , left more than 160 people dead . ''","A Chicago businessman","businessman","sentenced","nsubjpass"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File -RRB- less CHICAGO -LRB- AP -RRB- -- A Chicago businessman was sentenced to 14 years in prison Thursday for providing material XXXXX to overseas terrorism , including a Pakistani group whose 2008 attacks on Mumbai , India , left more than 160 people dead . ''","material support","support","providing","dobj"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File -RRB- less CHICAGO -LRB- AP -RRB- -- A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks on Mumbai , India , left more than 160 people dead . ''","India","India","Mumbai","appos"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File -RRB- less CHICAGO -LRB- AP -RRB- -- A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks on Mumbai , India , left more XXXXX . ''","more than 160 people dead","people","left","dobj"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File -RRB- less CHICAGO -LRB- AP -RRB- -- A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including XXXXX . ''","including a Pakistani group whose 2008 attacks on Mumbai , India , left more than 160 people dead","attacks","left","nsubj"
"2","`` CHICAGO -LRB- XXXXX  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material support to a terrorist group that staged the 2008 attacks on Mumbai , India , that left more than 160 people dead . ''","-LRB- AP -RRB-","AP","CHICAGO","appos"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A XXXXX has been sentenced to 14 years in prison for providing material support to a terrorist group that staged the 2008 attacks on Mumbai , India , that left more than 160 people dead . ''","A Chicago businessman","businessman","sentenced","nsubjpass"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material XXXXX to a terrorist group that staged the 2008 attacks on Mumbai , India , that left more than 160 people dead . ''","material support","support","providing","dobj"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material support to a terrorist group that staged the XXXXX . ''","the 2008 attacks on Mumbai , India , that left more than 160 people dead","attacks","staged","dobj"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material support to XXXXX staged the 2008 attacks on Mumbai , India , that left more than 160 people dead . ''","to a terrorist group that","group","staged","nsubj"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material support to a terrorist group that staged the 2008 attacks on Mumbai , India , that left more than 160 people dead . ''","India","India","Mumbai","appos"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material support to a terrorist group that staged the 2008 attacks on XXXXX left more than 160 people dead . ''","on Mumbai , India , that","Mumbai","left","nsubj"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material support to a terrorist group that staged the 2008 attacks on Mumbai , India , that left more XXXXX . ''","more than 160 people dead","people","left","dobj"
"3","`` A XXXXX was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks in Mumbai , India , left more than 160 people dead . ''","A Chicago businessman","businessman","sentenced","nsubjpass"
"3","`` A Chicago businessman was sentenced to 14 years in prison Thursday for providing material XXXXX to overseas terrorism , including a Pakistani group whose 2008 attacks in Mumbai , India , left more than 160 people dead . ''","material support","support","providing","dobj"
"3","`` A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks in Mumbai , India , left more than 160 people dead . ''","India","India","Mumbai","appos"
"3","`` A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks in Mumbai , India , left more XXXXX . ''","more than 160 people dead","people","left","dobj"
"3","`` A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including XXXXX . ''","including a Pakistani group whose 2008 attacks in Mumbai , India , left more than 160 people dead","attacks","left","nsubj"
"4","`` A XXXXX was sentenced Thursday to 14 years in prison for providing material support to overseas terrorists , including the Pakistani group that launched an attack in Mumbai that left at least 160 dead . ''","A Chicago businessman","businessman","sentenced","nsubjpass"
"4","`` A Chicago businessman was sentenced Thursday to 14 years in prison for providing material XXXXX to overseas terrorists , including the Pakistani group that launched an attack in Mumbai that left at least 160 dead . ''","material support","support","providing","dobj"
"4","`` A Chicago businessman was sentenced Thursday to 14 years in prison for providing material support to overseas terrorists , including XXXXX launched an attack in Mumbai that left at least 160 dead . ''","including the Pakistani group that","group","launched","nsubj"
"4","`` A Chicago businessman was sentenced Thursday to 14 years in prison for providing material support to overseas terrorists , including the Pakistani group that launched an XXXXX . ''","an attack in Mumbai that left at least 160 dead","attack","launched","dobj"
"4","`` A Chicago businessman was sentenced Thursday to 14 years in prison for providing material support to overseas terrorists , including the Pakistani group that launched an XXXXX left at least 160 dead . ''","an attack in Mumbai that","attack","left","nsubj"
"5","`` A XXXXX killed more than 100 civilians , including women and children , on farmland on the outskirts of the central city of Homs , the Syrian Observatory for Human Rights reported yesterday . ''","A Syrian army assault","assault","killed","nsubj"
"5","`` A Syrian army assault killed more XXXXX , including women and children , on farmland on the outskirts of the central city of Homs , the Syrian Observatory for Human Rights reported yesterday . ''","more than 100 civilians","civilians","killed","dobj"
"5","`` A Syrian army assault killed more than 100 civilians , including women and children , on farmland on the outskirts of the central city of Homs , the XXXXX reported yesterday . ''","the Syrian Observatory for Human Rights","Observatory","reported","nsubj"
